instrument_token,exchange_token,tradingsymbol,name,exchange,instrument_type,strike,expiry,lot_size
291081,1137,NIFTY INDIA MFG,NIFTY INDIA MFG,NSE,EQ,,,
291337,1138,NIFTY IND DIGITAL,NIFTY IND DIGITAL,NSE,EQ,,,
291593,1139,NIFTY100 ESG,NIFTY100 ESG,NSE,EQ,,,
294409,1150,NIFTY200 ALPHA 30,NIFTY200 ALPHA 30,NSE,EQ,,,
294665,1151,NIFTYM150MOMNTM50,NIFTYM150MOMNTM50,NSE,EQ,,,
294921,1152,NIFTY TATA 25 CAP,NIFTY TATA 25 CAP,NSE,EQ,,,
295177,1153,NIFTY MULTI MFG,NIFTY MULTI MFG,NSE,EQ,,,
295433,1154,NIFTY MULTI INFRA,NIFTY MULTI INFRA,NSE,EQ,,,
295689,1155,NIFTY MIDSML HLTH,NIFTY MIDSML HLTH,NSE,EQ,,,
404745,1581,NIFTY AQL 30,NIFTY ALPHA QUALITY LOW-VOLATILITY 30,NSE,EQ,,,
405001,1582,NIFTY AQLV 30,NIFTY ALPHA QUALITY VALUE LOW VOLATILITY 30,NSE,EQ,,,
405257,1583,NIFTY CORP MAATR,NIFTY INDIA SELECT 5 CORPORATE GROUPS,NSE,EQ,,,
405513,1584,NIFTY EV,NIFTY EV & NEW AGE AUTOMOTIVE,NSE,EQ,,,
405769,1585,NIFTY HIGHBETA 50,NIFTY HIGHBETA 50,NSE,EQ,,,
406025,1586,NIFTY LOW VOL 50,NIFTY LOW VOLATILITY 50,NSE,EQ,,,
406281,1587,NIFTY MOBILITY,NIFTY MOBILITY,NSE,EQ,,,
406537,1588,NIFTY MULTI MQ 50,NIFTY500 MULTICAP MOMENTUM QUALITY 50,NSE,EQ,,,
406793,1589,NIFTY NEW CONSUMP,NIFTY INDIA NEW AGE CONSUMPTION,NSE,EQ,,,
407049,1590,NIFTY QLTY LV 30,NIFTY QUALITY LOW VOLATILITY 30,NSE,EQ,,,
407305,1591,NIFTY SML250 Q50,NIFTY SMALLCAP250 QUALITY 50,NSE,EQ,,,
407561,1592,NIFTY TOP 10 EW,NIFTY TOP 10 EQUAL WEIGHT,NSE,EQ,,,
407817,1593,NIFTY TOP 15 EW,NIFTY TOP 15 EQUAL WEIGHT,NSE,EQ,,,
408073,1594,NIFTY TOP 20 EW,NIFTY TOP 20 EQUAL WEIGHT,NSE,EQ,,,
408329,1595,NIFTY100 ALPHA 30,NIFTY100 ALPHA 30,NSE,EQ,,,
408585,1596,NIFTY100 ENHANCED ESG,NIFTY100 ENHANCED ESG,NSE,EQ,,,
408841,1597,NIFTY200 VALUE 30,NIFTY200 VALUE 30,NSE,EQ,,,
409097,1598,NIFTY500 EQUAL WEIGHT,NIFTY500 EQUAL WEIGHT,NSE,EQ,,,
409353,1599,NIFTY500 VALUE 50,NIFTY500 VALUE 50,NSE,EQ,,,
409609,1600,NIFTY500MOMENTM50,NIFTY500 MOMENTUM 50,NSE,EQ,,,
409865,1601,NIFTYMS400 MQ 100,NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100,NSE,EQ,,,
410121,1602,NIFTYSML250MQ 100,NIFTY SMALLCAP250 MOMENTUM QUALITY 100,NSE,EQ,,,
410377,1603,NIFTY CORE HOUSING,NIFTY CORE HOUSING,NSE,EQ,,,
410633,1604,NIFTY FINSEREXBNK,NIFTY FINANCIAL SERVICES,NSE,EQ,,,
410889,1605,NIFTY HOUSING,NIFTY HOUSING,NSE,EQ,,,
411145,1606,NIFTY IPO,NIFTY IPO,NSE,EQ,,,
411401,1607,NIFTY MS FIN SERV,NIFTY MIDSMALL FINANCIAL SERVICES,NSE,EQ,,,
411657,1608,NIFTY MS IND CONS,NIFTY MIDSMALL INDIA CONSUMPTION,NSE,EQ,,,
411913,1609,NIFTY MS IT TELCM,NIFTY MIDSMALL IT & TELECOM,NSE,EQ,,,
412169,1610,NIFTY NONCYC CONS,NIFTY NON-CYCLICAL CONSUMER,NSE,EQ,,,
412425,1611,NIFTY RURAL,NIFTY RURAL,NSE,EQ,,,
412681,1612,NIFTY SHARIAH 25,NIFTY SHARIAH 25,NSE,EQ,,,
412937,1613,NIFTY TRANS LOGIS,NIFTY TRANSPORTATION & LOGISTICS,NSE,EQ,,,
413193,1614,NIFTY50 SHARIAH,NIFTY50 SHARIAH,NSE,EQ,,,
413449,1615,NIFTY500 LMS EQL,NIFTY500 LARGEMIDSMALL EQUAL CAP WEIGHTED,NSE,EQ,,,
413705,1616,NIFTY500 SHARIAH,NIFTY500 SHARIAH,NSE,EQ,,,
413961,1617,NIFTY IND DEFENCE,NIFTY INDIA DEFENCE,NSE,EQ,,,
414217,1618,NIFTY IND TOURISM,NIFTY INDIA TOURISM,NSE,EQ,,,
414473,1619,NIFTY CAPITAL MKT,NIFTY CAPITAL MARKETS,NSE,EQ,,,
416777,1628,BHARATBOND-APR33,NSE INDEX BHARATBOND-APR33,NSE,EQ,,,
417033,1629,BHARATBOND-APR32,NSE INDEX BHARATBOND-APR32,NSE,EQ,,,
417289,1630,BHARATBOND-APR31,NSE INDEX BHARATBOND-APR31,NSE,EQ,,,
417545,1631,BHARATBOND-APR30,NSE INDEX BHARATBOND-APR30,NSE,EQ,,,
417801,1632,NIFTY500 LOWVOL50,NSE INDEX NIFTY500 LOWVOL50,NSE,EQ,,,
418057,1633,NIFTY500 MQVLV50,NSE INDEX NIFTY500 MQVLV50,NSE,EQ,,,
418313,1634,NIFTY500 QLTY50,NSE INDEX NIFTY500 QLTY50,NSE,EQ,,,
418569,1635,NIFTY50 USD,NSE INDEX NIFTY50 USD,NSE,EQ,,,
418825,1636,NIFTY FPI 150,NIFTY FPI 150,NSE,EQ,,,
419081,1637,NIFTY500 FLEXICAP,NIFTY500 FLEXICAP,NSE,EQ,,,
419337,1638,NIFTY TMMQ 50,NIFTY TMMQ 50,NSE,EQ,,,
419593,1639,NIFTY SME EMERGE,NSE INDEX NIFTY SME EMERGE,NSE,EQ,,,
419849,1640,NIFTY INTERNET,NIFTY INTERNET,NSE,EQ,,,
420105,1641,NIFTY CHEMICALS,NSE INDEX NIFTY CHEMICALS,NSE,EQ,,,
420361,1642,NIFTY WAVES,NSE INDEX NIFTY WAVES,NSE,EQ,,,
420617,1643,NIFTY INFRALOG,NSE INDEX NIFTY INFRALOG,NSE,EQ,,,
420873,1644,NIFTY500 HEALTH,NIFTY500 HEALTH,NSE,EQ,,,
421129,1645,NIFTY RAILWAYS PSU,NIFTY RAILWAYS PSU,NSE,EQ,,,
421385,1646,NIFTYCONGLOMERATE,NIFTYCONGLOMERATE,NSE,EQ,,,
257,1,GOLDSTAR-SM,GOLDSTAR POWER,NSE,EQ,,,
1025,4,21STCENMGM,21ST CENTURY MGMT SERVICE,NSE,EQ,,,
1793,7,AARTIIND,AARTI INDUSTRIES,NSE,EQ,,,
3329,13,ABB,ABB INDIA,NSE,EQ,,,
3585,14,656KA30-SG,SDL KA 6.56% 2030,NSE,EQ,,,
4609,18,66RJ30-SG,SDL RJ 6.6% 2030,NSE,EQ,,,
4865,19,STYRENIX,STYRENIX PERFORMANCE,NSE,EQ,,,
5121,20,66GA30A-SG,SDL GA 6.6% 2030,NSE,EQ,,,
5377,21,664UP30-SG,SDL UP 6.64% 2030,NSE,EQ,,,
5633,22,ACC,ACC,NSE,EQ,,,
5889,23,67JK30-SG,SDL JK 6.7% 2030,NSE,EQ,,,
6401,25,ADANIENT,ADANI ENTERPRISES,NSE,EQ,,,
6657,26,67HR30-SG,SDL HR 6.7% 2030,NSE,EQ,,,
6913,27,GATECHDVR-BE,GACM TECHNOLOGIES,NSE,EQ,,,
7425,29,667MH31-SG,SDL MH 6.67% 2031,NSE,EQ,,,
8193,32,679MP33-SG,SDL MP 6.79% 2033,NSE,EQ,,,
8705,34,ADOR,ADOR WELDING,NSE,EQ,,,
8961,35,677KA34-SG,SDL KA 6.77% 2034,NSE,EQ,,,
9729,38,685AP36-SG,SDL AP 6.85% 2036,NSE,EQ,,,
10241,40,AEGISLOG,AEGIS LOGISTICS,NSE,EQ,,,
10497,41,687AP38-SG,SDL AP 6.87% 2038,NSE,EQ,,,
10753,42,677WB40-SG,SDL WB 6.77% 2040,NSE,EQ,,,
11777,46,SANWARIA-BZ,SANWARIA CONSUMER,NSE,EQ,,,
12289,48,HAPPSTMNDS,HAPPIEST MINDS TECHNO,NSE,EQ,,,
16641,65,663GJ29-SG,SDL GJ 6.63% 2029,NSE,EQ,,,
17409,68,684TS40-SG,SDL TS 6.84% 2040,NSE,EQ,,,
18433,72,665KA30-SG,SDL KA 6.65% 2030,NSE,EQ,,,
18945,74,675KA33-SG,SDL KA 6.75% 2033,NSE,EQ,,,
19457,76,667UK30-SG,SDL UK 6.67% 2030,NSE,EQ,,,
20225,79,ALEMBICLTD,ALEMBIC,NSE,EQ,,,
21249,83,67ML30-SG,SDL ML 6.7% 2030,NSE,EQ,,,
22017,86,67NL30-SG,SDL NL 6.7% 2030,NSE,EQ,,,
22273,87,667RJ30-SG,SDL RJ 6.67% 2030,NSE,EQ,,,
22785,89,67TR30-SG,SDL TR 6.7% 2030,NSE,EQ,,,
23553,92,668UP30-SG,SDL UP 6.68% 2030,NSE,EQ,,,
24321,95,676MP33-SG,SDL MP 6.76% 2033,NSE,EQ,,,
25601,100,ARE&M,AMARA RAJA ENERGY MOB,NSE,EQ,,,
26625,104,SHAREINDIA,SHARE IND. SECURITIES,NSE,EQ,,,
29953,117,OMFURN-SM,OMFURN INDIA,NSE,EQ,,,
32769,128,ROUTE,ROUTE MOBILE,NSE,EQ,,,
34817,136,ANDHRSUGAR,ANDHRA SUGARS,NSE,EQ,,,
36865,144,GODREJAGRO,GODREJ AGROVET,NSE,EQ,,,
38145,149,SGBSEP28VI-GB,2.50%GOLDBONDS2028SR-VI,NSE,EQ,,,
39425,154,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,NSE,EQ,,,
40193,157,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,NSE,EQ,,,
40449,158,67MH28-SG,SDL MH 6.7% 2028,NSE,EQ,,,
40705,159,MILTON-SM,MILTON INDUSTRIES,NSE,EQ,,,
41217,161,674UP30-SG,SDL UP 6.74% 2030,NSE,EQ,,,
41729,163,APOLLOTYRE,APOLLO TYRES,NSE,EQ,,,
41985,164,68AS30-SG,SDL AS 6.8% 2030,NSE,EQ,,,
42241,165,674GA30-SG,SDL GA 6.74% 2030,NSE,EQ,,,
42497,166,ANDHRAPAP,ANDHRA PAPER,NSE,EQ,,,
42753,167,67GJ30-SG,SDL GJ 6.7% 2030,NSE,EQ,,,
43521,170,67KA30-SG,SDL KA 6.7% 2030,NSE,EQ,,,
43777,171,672RJ30-SG,SDL RJ 6.72% 2030,NSE,EQ,,,
44289,173,673SK30-SG,SDL SK 6.73% 2030,NSE,EQ,,,
45825,179,669TN30-SG,SDL TN 6.69% 2030,NSE,EQ,,,
46337,181,ARENTERP,RAJDARSHAN INDUSTRIES,NSE,EQ,,,
46593,182,678KA32-SG,SDL KA 6.78% 2032,NSE,EQ,,,
47105,184,TCPLPACK,TCPL PACKAGING,NSE,EQ,,,
47361,185,678MH32-SG,SDL MH 6.78% 2032,NSE,EQ,,,
47617,186,850NHAI29-N5,850NHAI29-N5,NSE,EQ,,,
49153,192,875NHAI29-N6,875NHAI29-N6,NSE,EQ,,,
49409,193,ARVIND,ARVIND,NSE,EQ,,,
50945,199,MASFIN,MAS FINANCIAL SERV,NSE,EQ,,,
51969,203,ASHAPURMIN,ASHAPURA MINECHEM,NSE,EQ,,,
52225,204,UNIDT-BE,UNITED DRILLING TOOLS,NSE,EQ,,,
52737,206,ASHIMASYN,ASHIMA,NSE,EQ,,,
54273,212,ASHOKLEY,ASHOK LEYLAND,NSE,EQ,,,
56321,220,IEX,INDIAN ENERGY EXC,NSE,EQ,,,
60161,235,AAKASH,AAKASH EXPLORATION SER L,NSE,EQ,,,
60417,236,ASIANPAINT,ASIAN PAINTS,NSE,EQ,,,
62721,245,ADL,ARCHIDPLY DECOR,NSE,EQ,,,
65281,255,NIRAJ,NIRAJ CEMENT STRUC,NSE,EQ,,,
67329,263,ATUL,ATUL,NSE,EQ,,,
70401,275,AUROPHARMA,AUROBINDO PHARMA,NSE,EQ,,,
70657,276,CHEMCON-BE,CHEMCON SPECIAL CHEM,NSE,EQ,,,
70913,277,GICRE,GENERAL INS CORP OF INDIA,NSE,EQ,,,
71169,278,AUTOAXLES,AUTOMOTIVE AXLES,NSE,EQ,,,
74497,291,69PY29-SG,SDL PY 6.9% 2029,NSE,EQ,,,
75265,294,69AS30A-SG,SDL AS 6.9% 2030,NSE,EQ,,,
76033,297,683GJ30-SG,SDL GJ 6.83% 2030,NSE,EQ,,,
76801,300,685KA30-SG,SDL KA 6.85% 2030,NSE,EQ,,,
77313,302,685RJ30-SG,SDL RJ 6.85% 2030,NSE,EQ,,,
77569,303,689GA30-SG,SDL GA 6.89% 2030,NSE,EQ,,,
78081,305,BAJAJHLDNG,BAJAJ HOLDINGS & INVS,NSE,EQ,,,
78337,306,69ML30-SG,SDL ML 6.9% 2030,NSE,EQ,,,
78593,307,69UP30-SG,SDL UP 6.9% 2030,NSE,EQ,,,
78849,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,NSE,EQ,,,
79105,309,69UK30A-SG,SDL UK 6.9% 2030,NSE,EQ,,,
79617,311,697KA31-SG,SDL KA 6.97% 2031,NSE,EQ,,,
79873,312,TIINDIA,TUBE INVEST OF INDIA,NSE,EQ,,,
80129,313,71MH32-SG,SDL MH 7.1% 2032,NSE,EQ,,,
80385,314,696JK35-SG,SDL JK 6.96% 2035,NSE,EQ,,,
80641,315,704WB35-SG,SDL WB 7.04% 2035,NSE,EQ,,,
80897,316,705MZ35-SG,SDL MZ 7.05% 2035,NSE,EQ,,,
81153,317,BAJFINANCE,BAJAJ FINANCE,NSE,EQ,,,
81409,318,70AP39-SG,SDL AP 7.0% 2039,NSE,EQ,,,
81665,319,695PN40-SG,SDL PN 6.95% 2040,NSE,EQ,,,
82177,321,705HR40-SG,SDL HR 7.05% 2040,NSE,EQ,,,
82433,322,694TS50-SG,SDL TS 6.94% 2050,NSE,EQ,,,
82945,324,ANGELONE,ANGEL ONE,NSE,EQ,,,
85505,334,VALIANTORG-BE,VALIANT ORGANICS,NSE,EQ,,,
85761,335,BALKRISIND,BALKRISHNA IND.,NSE,EQ,,,
86529,338,BALMLAWRIE,BALMER LAWRIE & CO,NSE,EQ,,,
87297,341,BALRAMCHIN,BALRAMPUR CHINI MILLS,NSE,EQ,,,
87553,342,CAMS,COMPUTER AGE MNGT SER,NSE,EQ,,,
88833,347,BANARBEADS,BANARAS BEADS,NSE,EQ,,,
89601,350,BANARISUG,BANNARI AMMAN SUGARS,NSE,EQ,,,
91393,357,NAM-INDIA,NIPPON L I A M,NSE,EQ,,,
91905,359,ROML,RAJ OIL MILLS,NSE,EQ,,,
94209,368,BASF,BASF INDIA,NSE,EQ,,,
94977,371,BATAINDIA,BATA INDIA,NSE,EQ,,,
97281,380,BBTC,BOMBAY BURMAH TRADING COR,NSE,EQ,,,
97537,381,SINTERCOM,SINTERCOM INDIA,NSE,EQ,,,
98049,383,BEL,BHARAT ELECTRONICS,NSE,EQ,,,
98561,385,MAHLOG,MAHINDRA LOGISTIC,NSE,EQ,,,
100609,393,GLOBE,GLOBE ENTERPRISE (I),NSE,EQ,,,
101121,395,BEML,BEML,NSE,EQ,,,
102145,399,NIACL,THE NEW INDIA ASSU CO,NSE,EQ,,,
103425,404,BERGEPAINT,BERGER PAINTS (I),NSE,EQ,,,
107265,419,BEPL,BHANSALI ENG. POLYMERS LT,NSE,EQ,,,
107521,420,672TN27-SG,SDL TN 6.72% 2027,NSE,EQ,,,
108033,422,BHARATFORG,BHARAT FORGE,NSE,EQ,,,
109313,427,681MH28-SG,SDL MH 6.81% 2028,NSE,EQ,,,
109569,428,693JH30-SG,SDL JH 6.93% 2030,NSE,EQ,,,
110081,430,692RJ30-SG,SDL RJ 6.92% 2030,NSE,EQ,,,
110337,431,691AS30-SG,SDL AS 6.91% 2030,NSE,EQ,,,
110849,433,KHADIM-BE,KHADIM INDIA,NSE,EQ,,,
111617,436,IFGLEXPOR,IFGL REFRACTORIES,NSE,EQ,,,
111873,437,691NL30-SG,SDL NL 6.91% 2030,NSE,EQ,,,
112129,438,BHEL,BHEL,NSE,EQ,,,
112385,439,691UP30A-SG,SDL UP 6.91% 2030,NSE,EQ,,,
112641,440,69GA30A-SG,SDL GA 6.9% 2030,NSE,EQ,,,
113921,445,5PAISA,5PAISA CAPITAL,NSE,EQ,,,
114177,446,69HP30-SG,SDL HP 6.9% 2030,NSE,EQ,,,
114689,448,687MH30-SG,SDL MH 6.87% 2030,NSE,EQ,,,
114945,449,686KA30-SG,SDL KA 6.86% 2030,NSE,EQ,,,
116225,454,684GJ30-SG,SDL GJ 6.84% 2030,NSE,EQ,,,
116993,457,715JK32-SG,SDL JK 7.15% 2032,NSE,EQ,,,
117761,460,707MP32-SG,SDL MP 7.07% 2032,NSE,EQ,,,
119297,466,705MH32-SG,SDL MH 7.05% 2032,NSE,EQ,,,
119553,467,HDFCLIFE,HDFC LIFE INS CO,NSE,EQ,,,
119809,468,708KA34-SG,SDL KA 7.08% 2034,NSE,EQ,,,
120065,469,71AP37-SG,SDL AP 7.1% 2037,NSE,EQ,,,
120577,471,OSWALGREEN,OSWAL GREENTECH,NSE,EQ,,,
120833,472,709WB40-SG,SDL WB 7.09% 2040,NSE,EQ,,,
121345,474,3MINDIA,3M INDIA,NSE,EQ,,,
121601,475,703AP40-SG,SDL AP 7.03% 2040,NSE,EQ,,,
122881,480,BIRLACORPN,BIRLA CORPORATION,NSE,EQ,,,
123393,482,AISL-SM,ANI INTEGRATED SERV,NSE,EQ,,,
125185,489,ICEMAKE,ICE MAKE REFRIGERAT,NSE,EQ,,,
126721,495,BLUEDART,BLUE DART EXPRESS,NSE,EQ,,,
127489,498,903SFL28-YI,903SFL28-YI,NSE,EQ,,,
129793,507,PULZ-SM,PULZ ELECTRONICS,NSE,EQ,,,
130305,509,MAZDOCK,MAZAGON DOCK SHIPBUIL,NSE,EQ,,,
131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,NSE,EQ,,,
133633,522,ICICIB22,BHARAT 22 ETF,NSE,EQ,,,
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,NSE,EQ,,,
134913,527,UTIAMC,UTI ASSET MNGMT CO,NSE,EQ,,,
135681,530,BPL,BPL,NSE,EQ,,,
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,NSE,EQ,,,
143105,559,BSL,BSL,NSE,EQ,,,
146689,573,FELIX-SM,FELIX INDUSTRIES,NSE,EQ,,,
147969,578,LIKHITHA,LIKHITHA INFRASTRUC,NSE,EQ,,,
149249,583,CANFINHOME,CAN FIN HOMES,NSE,EQ,,,
151041,590,669PN30-SG,SDL PN 6.69% 2030,NSE,EQ,,,
151297,591,840IRFC29-N8,840IRFC29-N8,NSE,EQ,,,
151553,592,GRAPHITE,GRAPHITE INDIA,NSE,EQ,,,
151809,593,661KA30-SG,SDL KA 6.61% 2030,NSE,EQ,,,
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,NSE,EQ,,,
152577,596,663MH30-SG,SDL MH 6.63% 2030,NSE,EQ,,,
153345,599,645MH27-SG,SDL MH 6.45% 2027,NSE,EQ,,,
154369,603,865IRFC29-NA,865IRFC29-NA,NSE,EQ,,,
154881,605,655MH28-SG,SDL MH 6.55% 2028,NSE,EQ,,,
155905,609,665ML30-SG,SDL ML 6.65% 2030,NSE,EQ,,,
156417,611,66RJ30A-SG,SDL RJ 6.6% 2030,NSE,EQ,,,
157185,614,663UP30-SG,SDL UP 6.63% 2030,NSE,EQ,,,
157953,617,662UK30-SG,SDL UK 6.62% 2030,NSE,EQ,,,
158209,618,675KA33A-SG,SDL KA 6.75% 2033,NSE,EQ,,,
158465,619,CENTENKA,CENTURY ENKA,NSE,EQ,,,
158721,620,699WB35-SG,SDL WB 6.99% 2035,NSE,EQ,,,
160001,625,ABREL,ADITYA BIRLA REAL EST,NSE,EQ,,,
160257,626,691AP39-SG,SDL AP 6.91% 2039,NSE,EQ,,,
160769,628,CESC,CESC,NSE,EQ,,,
161025,629,691MP40-SG,SDL MP 6.91% 2040,NSE,EQ,,,
161281,630,694TS50A-SG,SDL TS 6.94% 2050,NSE,EQ,,,
162305,634,IGARASHI,IGARASHI MOTORS INDIA,NSE,EQ,,,
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,NSE,EQ,,,
164097,641,DNAMEDIA,DILIGENT MEDIA CORP,NSE,EQ,,,
173057,676,EXIDEIND,EXIDE INDUSTRIES,NSE,EQ,,,
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,NSE,EQ,,,
177665,694,CIPLA,CIPLA,NSE,EQ,,,
179457,701,HEMIPROP,HEMISPHERE PROP IND,NSE,EQ,,,
179969,703,DICIND,DIC INDIA,NSE,EQ,,,
181249,708,SHRADHA,SHRADHA REALTY,NSE,EQ,,,
182785,714,SHALBY,SHALBY,NSE,EQ,,,
183041,715,SUDARCOLOR,SUDARSHAN COLORNT IND,NSE,EQ,,,
184833,722,SBIETFPB,SBI PRIVATE BANK ETF,NSE,EQ,,,
189185,739,COROMANDEL,COROMANDEL INTERNTL.,NSE,EQ,,,
189441,740,SBIETFIT,SBI ETF IT ETF,NSE,EQ,,,
189953,742,COSMOFIRST,COSMO FIRST,NSE,EQ,,,
190977,746,687AP35-SG,SDL AP 6.87% 2035,NSE,EQ,,,
193025,754,656AS30-SG,SDL AS 6.56% 2030,NSE,EQ,,,
193793,757,CRISIL,CRISIL,NSE,EQ,,,
194049,758,651KA30-SG,SDL KA 6.51% 2030,NSE,EQ,,,
