id,scrip,date,instrument_token,tradingsymbol,strike,option_type,expiry,open,high,low,close,volume,oi,spot_close
67553,NIFTY50,2026-08-03,10496002,NIFTY2681124200PE,24200,PE,2026-08-11,60,60.05,30.1,35.9,7699835,2780050,24774.3
67554,NIFTY50,2026-08-03,10496258,NIFTY2681124250CE,24250,CE,2026-08-11,330,414.5,330,384.1,215800,186095,24774.3
67555,NIFTY50,2026-08-03,10496514,NIFTY2681124250PE,24250,PE,2026-08-11,69.9,69.9,36.1,43.15,2794675,704015,24774.3
67556,NIFTY50,2026-08-03,10496770,NIFTY2681124300CE,24300,CE,2026-08-11,285,373.3,285,343.6,1204450,898105,24774.3
67557,NIFTY50,2026-08-03,10497026,NIFTY2681124300PE,24300,PE,2026-08-11,80,80.05,43.05,51.3,8054215,2151045,24774.3
67558,NIFTY50,2026-08-03,10497282,NIFTY2681124350CE,24350,CE,2026-08-11,269.9,333.45,267.1,303.65,695565,152490,24774.3
67559,NIFTY50,2026-08-03,10497538,NIFTY2681124350PE,24350,PE,2026-08-11,90,90,51.2,61.2,3966755,909805,24774.3
67560,NIFTY50,2026-08-03,10497794,NIFTY2681124400CE,24400,CE,2026-08-11,215,296.5,205,264.45,2951000,1228955,24774.3
67561,NIFTY50,2026-08-03,10498050,NIFTY2681124400PE,24400,PE,2026-08-11,91.55,102,61.85,72.05,7987070,2282410,24774.3
67562,NIFTY50,2026-08-03,10498306,NIFTY2681124450CE,24450,CE,2026-08-11,193.15,259.25,183.2,230.4,1160835,205790,24774.3
67563,NIFTY50,2026-08-03,10498562,NIFTY2681124450PE,24450,PE,2026-08-11,114.8,118.6,74.65,86.25,2223195,400010,24774.3
67564,NIFTY50,2026-08-03,10498818,NIFTY2681124500CE,24500,CE,2026-08-11,171.95,225.45,170.75,198.05,9499880,1871935,24774.3
67565,NIFTY50,2026-08-03,10499074,NIFTY2681124500PE,24500,PE,2026-08-11,142.8,142.8,90,103.65,12552605,2595645,24774.3
67566,NIFTY50,2026-08-03,10499330,NIFTY2681124550CE,24550,CE,2026-08-11,152.3,194.8,144.05,169.05,4316390,506155,24774.3
67567,NIFTY50,2026-08-03,10499586,NIFTY2681124550PE,24550,PE,2026-08-11,162.85,165.95,108.75,124.05,4747015,551265,24774.3
67568,NIFTY50,2026-08-03,10499842,NIFTY2681124600CE,24600,CE,2026-08-11,128.05,166.6,121.85,142,16740165,2809300,24774.3
67569,NIFTY50,2026-08-03,10500098,NIFTY2681124600PE,24600,PE,2026-08-11,183.35,184.75,129.3,146.65,13085215,2504125,24774.3
67570,NIFTY50,2026-08-03,10500354,NIFTY2681124650CE,24650,CE,2026-08-11,101.1,139.55,98.5,117.2,3190330,527930,24774.3
67571,NIFTY50,2026-08-03,10500866,NIFTY2681124650PE,24650,PE,2026-08-11,230,230,152.05,170.2,1442675,185380,24774.3
67572,NIFTY50,2026-08-03,10501122,NIFTY2681124700CE,24700,CE,2026-08-11,96.95,117,80.1,96.25,9791470,2393820,24774.3
67573,NIFTY50,2026-08-03,10502146,NIFTY2681124700PE,24700,PE,2026-08-11,274.75,274.75,180,199,3450460,625040,24774.3
67574,NIFTY50,2026-08-03,10502402,NIFTY2681124750CE,24750,CE,2026-08-11,70.05,95.3,60.2,77.9,2867865,495235,24774.3
67575,NIFTY50,2026-08-03,10502658,NIFTY2681124750PE,24750,PE,2026-08-11,262.9,272.9,210.3,228.5,349310,55770,24774.3
67576,NIFTY50,2026-08-03,10502914,NIFTY2681124800CE,24800,CE,2026-08-11,69,77.65,50,62.5,9011015,2148055,24774.3
67577,NIFTY50,2026-08-03,10503170,NIFTY2681124800PE,24800,PE,2026-08-11,310,312.3,245.05,263.75,1194505,275470,24774.3
67578,NIFTY50,2026-08-03,10503426,NIFTY2681124850CE,24850,CE,2026-08-11,43.75,62.2,38.1,48.8,3672565,560950,24774.3
67579,NIFTY50,2026-08-03,10503682,NIFTY2681124850PE,24850,PE,2026-08-11,335.3,336.6,278.85,298.1,153985,30160,24774.3
67580,NIFTY50,2026-08-03,10503938,NIFTY2681124900CE,24900,CE,2026-08-11,31.6,49.55,28.9,37.8,6760520,1347320,24774.3
67581,NIFTY50,2026-08-03,10504194,NIFTY2681124900PE,24900,PE,2026-08-11,400,400,320.4,341.8,267475,95160,24774.3
67582,NIFTY50,2026-08-03,10504450,NIFTY2681124950CE,24950,CE,2026-08-11,25.05,38.95,21.1,29.4,2627560,371735,24774.3
67583,NIFTY50,2026-08-03,10505218,NIFTY2681124950PE,24950,PE,2026-08-11,400,402.75,362.5,384.7,21450,6825,24774.3
67584,NIFTY50,2026-08-03,10505474,NIFTY2681125000CE,25000,CE,2026-08-11,24,30.75,15.85,23.35,16495635,3542760,24774.3
67585,NIFTY50,2026-08-03,10505730,NIFTY2681125000PE,25000,PE,2026-08-11,399,495.45,399,427.75,754520,308880,24774.3
67586,NIFTY50,2026-08-03,10505986,NIFTY2681125050CE,25050,CE,2026-08-11,14.8,23.6,14,18.1,2519010,786955,24774.3
67587,NIFTY50,2026-08-03,10506242,NIFTY2681125050PE,25050,PE,2026-08-11,460,486,441.25,469.4,3250,1950,24774.3
67588,NIFTY50,2026-08-03,10506498,NIFTY2681125100CE,25100,CE,2026-08-11,9.85,18.5,9.05,14.5,4835480,1305330,24774.3
67589,NIFTY50,2026-08-03,10506754,NIFTY2681125100PE,25100,PE,2026-08-11,525,549.65,491.5,514.9,25610,9555,24774.3
67590,NIFTY50,2026-08-03,10507010,NIFTY2681125150CE,25150,CE,2026-08-11,6.8,14.7,6.8,11.5,1834495,354705,24774.3
67591,NIFTY50,2026-08-03,10507266,NIFTY2681125150PE,25150,PE,2026-08-11,555,564.2,540,564.2,585,455,24774.3
67592,NIFTY50,2026-08-03,10507522,NIFTY2681125200CE,25200,CE,2026-08-11,5.8,11.95,5.15,10,6640075,1637220,24774.3
67593,NIFTY50,2026-08-03,10507778,NIFTY2681125200PE,25200,PE,2026-08-11,660.05,660.05,585,611.65,23660,6760,24774.3
67594,NIFTY50,2026-08-03,10508034,NIFTY2681125250CE,25250,CE,2026-08-11,5.35,9.85,3.95,8.45,2057510,411320,24774.3
67595,NIFTY50,2026-08-03,10508290,NIFTY2681125250PE,25250,PE,2026-08-11,985.3,985.3,985.3,985.3,0,65,24774.3
67596,NIFTY50,2026-08-03,10508546,NIFTY2681125300CE,25300,CE,2026-08-11,3.6,8.5,3.35,7.35,5860140,1677130,24774.3
67597,NIFTY50,2026-08-03,10508802,NIFTY2681125300PE,25300,PE,2026-08-11,740,740,679.15,706,2860,2210,24774.3
67598,NIFTY50,2026-08-03,10509058,NIFTY2681125350CE,25350,CE,2026-08-11,3.05,7.1,2.7,6.3,1011920,150085,24774.3
67599,NIFTY50,2026-08-03,10509314,NIFTY2681125350PE,25350,PE,2026-08-11,738,747.05,738,747.05,195,130,24774.3
67600,NIFTY50,2026-08-03,10509570,NIFTY2681125400CE,25400,CE,2026-08-11,3.15,6.25,2.75,5.45,2667275,764205,24774.3
67601,NIFTY50,2026-08-03,10509826,NIFTY2681125400PE,25400,PE,2026-08-11,820,820,775.45,818,1690,1170,24774.3
67602,NIFTY50,2026-08-03,10510082,NIFTY2681125450CE,25450,CE,2026-08-11,1.95,5.4,1.95,4.7,723970,192010,24774.3
67603,NIFTY50,2026-08-03,10510338,NIFTY2681125450PE,25450,PE,2026-08-11,825,825,825,825,65,65,24774.3
67604,NIFTY50,2026-08-03,10510594,NIFTY2681125500CE,25500,CE,2026-08-11,2.65,4.65,2,4.25,4934150,2166385,24774.3
67605,NIFTY50,2026-08-03,10510850,NIFTY2681125500PE,25500,PE,2026-08-11,937.35,944,877.3,910.45,68380,33085,24774.3
67606,NIFTY50,2026-08-03,10511106,NIFTY2681125550CE,25550,CE,2026-08-11,2.15,3.95,1.8,3.65,704665,97175,24774.3
67607,NIFTY50,2026-08-03,10511362,NIFTY2681125550PE,25550,PE,2026-08-11,963.55,963.55,929.4,946.1,2470,2405,24774.3
67608,NIFTY50,2026-08-03,10511618,NIFTY2681125600CE,25600,CE,2026-08-11,2.95,3.8,1.6,3.1,1842880,511290,24774.3
67609,NIFTY50,2026-08-03,10511874,NIFTY2681125600PE,25600,PE,2026-08-11,986.95,986.95,986.95,986.95,1040,1235,24774.3
67610,NIFTY50,2026-08-03,10512130,NIFTY2681125650CE,25650,CE,2026-08-11,2.95,2.95,1.65,2.65,291590,84630,24774.3
67611,NIFTY50,2026-08-03,10512386,NIFTY2681125650PE,25650,PE,2026-08-11,1826.7,1826.7,1826.7,1826.7,0,0,24774.3
67612,NIFTY50,2026-08-03,10512642,NIFTY2681125700CE,25700,CE,2026-08-11,2.95,2.95,1.45,2.1,1826565,696995,24774.3
67613,NIFTY50,2026-08-03,10513410,NIFTY2681125700PE,25700,PE,2026-08-11,1450,1450,1450,1450,0,260,24774.3
67614,NIFTY50,2026-08-03,10513666,NIFTY2681125750CE,25750,CE,2026-08-11,1.75,2.05,1.45,1.75,467545,237445,24774.3
67615,NIFTY50,2026-08-03,10513922,NIFTY2681125750PE,25750,PE,2026-08-11,1170,1170,1170,1170,65,65,24774.3
67616,NIFTY50,2026-08-03,11539458,NIFTY2681823750CE,23750,CE,2026-08-18,710,710,710,710,0,325,24774.3
67617,NIFTY50,2026-08-03,11539714,NIFTY2681823750PE,23750,PE,2026-08-18,30.05,30.25,24.05,25.75,72150,28405,24774.3
67618,NIFTY50,2026-08-03,11539970,NIFTY2681823800CE,23800,CE,2026-08-18,810,861.4,810,829,5460,6435,24774.3
67619,NIFTY50,2026-08-03,11540226,NIFTY2681823800PE,23800,PE,2026-08-18,31.7,33.2,25.9,28.05,425230,177125,24774.3
67620,NIFTY50,2026-08-03,11540482,NIFTY2681823850CE,23850,CE,2026-08-18,770,795.2,770,780.05,260,715,24774.3
67621,NIFTY50,2026-08-03,11540738,NIFTY2681823850PE,23850,PE,2026-08-18,39.05,39.05,29.15,31.15,50245,17355,24774.3
67622,NIFTY50,2026-08-03,11540994,NIFTY2681823900CE,23900,CE,2026-08-18,715.5,777.3,704.95,759.25,8060,28275,24774.3
67623,NIFTY50,2026-08-03,11541250,NIFTY2681823900PE,23900,PE,2026-08-18,44.95,45,32.45,35.45,547820,270855,24774.3
67624,NIFTY50,2026-08-03,11541506,NIFTY2681823950CE,23950,CE,2026-08-18,675,780.85,675,695.65,2600,2665,24774.3
67625,NIFTY50,2026-08-03,11541762,NIFTY2681823950PE,23950,PE,2026-08-18,44.25,44.6,35.1,39.25,64675,34450,24774.3
67626,NIFTY50,2026-08-03,11542018,NIFTY2681824000CE,24000,CE,2026-08-18,599.7,686.4,599.7,660.55,43745,78000,24774.3
67627,NIFTY50,2026-08-03,11543298,NIFTY2681824000PE,24000,PE,2026-08-18,58.5,58.5,40.05,44,757965,437255,24774.3
67628,NIFTY50,2026-08-03,11543554,NIFTY2681824050CE,24050,CE,2026-08-18,492,642.85,492,598.9,975,2015,24774.3
67629,NIFTY50,2026-08-03,11543810,NIFTY2681824050PE,24050,PE,2026-08-18,55.3,57.35,45.8,49.65,107380,42185,24774.3
67630,NIFTY50,2026-08-03,11544066,NIFTY2681824100CE,24100,CE,2026-08-18,461.3,596.75,461.3,559.25,42770,54600,24774.3
67631,NIFTY50,2026-08-03,11544322,NIFTY2681824100PE,24100,PE,2026-08-18,70,74.85,50.7,56.05,412815,184145,24774.3
67632,NIFTY50,2026-08-03,11544578,NIFTY2681824150CE,24150,CE,2026-08-18,506,546.7,497.65,517.3,2210,3965,24774.3
67633,NIFTY50,2026-08-03,11544834,NIFTY2681824150PE,24150,PE,2026-08-18,89.85,89.85,57.7,62.3,104910,45305,24774.3
67634,NIFTY50,2026-08-03,11545090,NIFTY2681824200CE,24200,CE,2026-08-18,411.1,513.8,411.1,480.4,76635,110825,24774.3
67635,NIFTY50,2026-08-03,11545346,NIFTY2681824200PE,24200,PE,2026-08-18,105,105,64,71.6,571350,278980,24774.3
67636,NIFTY50,2026-08-03,11545602,NIFTY2681824250CE,24250,CE,2026-08-18,401.4,472,401.4,445.3,51415,40885,24774.3
67637,NIFTY50,2026-08-03,11545858,NIFTY2681824250PE,24250,PE,2026-08-18,95,95.1,73.05,80.35,102245,69680,24774.3
67638,NIFTY50,2026-08-03,11546114,NIFTY2681824300CE,24300,CE,2026-08-18,359,436.1,359,400.05,107510,137085,24774.3
67639,NIFTY50,2026-08-03,11546370,NIFTY2681824300PE,24300,PE,2026-08-18,126.9,126.9,82.3,91.05,808600,439985,24774.3
67640,NIFTY50,2026-08-03,11546626,NIFTY2681824350CE,24350,CE,2026-08-18,339.95,395.8,331.9,370.9,33540,15535,24774.3
67641,NIFTY50,2026-08-03,11546882,NIFTY2681824350PE,24350,PE,2026-08-18,143.3,143.3,96.2,102.8,198445,61035,24774.3
67642,NIFTY50,2026-08-03,11547138,NIFTY2681824400CE,24400,CE,2026-08-18,300,363.4,293.2,332.55,272935,221455,24774.3
67643,NIFTY50,2026-08-03,11547394,NIFTY2681824400PE,24400,PE,2026-08-18,150,150,107.05,116.3,610480,312260,24774.3
67644,NIFTY50,2026-08-03,11547650,NIFTY2681824450CE,24450,CE,2026-08-18,289.95,325.5,276.55,297.9,55380,19175,24774.3
67645,NIFTY50,2026-08-03,11547906,NIFTY2681824450PE,24450,PE,2026-08-18,183.75,183.8,122.8,134,88790,26520,24774.3
67646,NIFTY50,2026-08-03,11548162,NIFTY2681824500CE,24500,CE,2026-08-18,201.05,294.7,201.05,263.35,739310,299260,24774.3
67647,NIFTY50,2026-08-03,11548418,NIFTY2681824500PE,24500,PE,2026-08-18,190,190,140.2,153.3,1046890,366730,24774.3
67648,NIFTY50,2026-08-03,11548674,NIFTY2681824550CE,24550,CE,2026-08-18,225,262.8,218.15,232.35,184015,58760,24774.3
67649,NIFTY50,2026-08-03,11549442,NIFTY2681824550PE,24550,PE,2026-08-18,226.45,226.5,159.4,170.9,203125,54730,24774.3
67650,NIFTY50,2026-08-03,11549698,NIFTY2681824600CE,24600,CE,2026-08-18,156,235.75,156,206.8,1230840,350545,24774.3
67651,NIFTY50,2026-08-03,11549954,NIFTY2681824600PE,24600,PE,2026-08-18,233.05,233.35,179.95,193.9,1392170,372775,24774.3
67652,NIFTY50,2026-08-03,11550722,NIFTY2681824650CE,24650,CE,2026-08-18,165,207.65,165,183.7,170170,49660,24774.3
67653,NIFTY50,2026-08-03,11550978,NIFTY2681824650PE,24650,PE,2026-08-18,239,242,206.95,216.65,68315,16445,24774.3
67654,NIFTY50,2026-08-03,11551234,NIFTY2681824700CE,24700,CE,2026-08-18,127,182.5,127,160.6,786825,338455,24774.3
67655,NIFTY50,2026-08-03,11551490,NIFTY2681824700PE,24700,PE,2026-08-18,298.45,299.1,230,242.85,156520,46800,24774.3
67656,NIFTY50,2026-08-03,11553794,NIFTY2681824750CE,24750,CE,2026-08-18,130,158.6,123.75,137.35,104065,25935,24774.3
67657,NIFTY50,2026-08-03,11554050,NIFTY2681824750PE,24750,PE,2026-08-18,270.3,280,258.3,270.15,7670,4095,24774.3
67658,NIFTY50,2026-08-03,11555842,NIFTY2681824800CE,24800,CE,2026-08-18,96,136.6,96,118.2,1006005,337610,24774.3
67659,NIFTY50,2026-08-03,11556098,NIFTY2681824800PE,24800,PE,2026-08-18,366.75,366.85,286.45,301.15,94575,24765,24774.3
67660,NIFTY50,2026-08-03,11556354,NIFTY2681824850CE,24850,CE,2026-08-18,69.4,117.75,69.4,99.35,154960,48685,24774.3
67661,NIFTY50,2026-08-03,11556610,NIFTY2681824850PE,24850,PE,2026-08-18,322,340.25,322,331.85,650,325,24774.3
67662,NIFTY50,2026-08-03,11556866,NIFTY2681824900CE,24900,CE,2026-08-18,137.7,137.7,77.9,85.3,313885,99190,24774.3
67663,NIFTY50,2026-08-03,11557122,NIFTY2681824900PE,24900,PE,2026-08-18,380,380,350,368.6,8385,3835,24774.3
67664,NIFTY50,2026-08-03,11557378,NIFTY2681824950CE,24950,CE,2026-08-18,117.5,117.5,66.2,70.75,32695,15145,24774.3
67665,NIFTY50,2026-08-03,11557634,NIFTY2681824950PE,24950,PE,2026-08-18,387.6,387.6,385,386.3,130,130,24774.3
67666,NIFTY50,2026-08-03,11557890,NIFTY2681825000CE,25000,CE,2026-08-18,50.5,72.9,45,58.75,1429805,460135,24774.3
67667,NIFTY50,2026-08-03,11558146,NIFTY2681825000PE,25000,PE,2026-08-18,460,479.15,421.9,435.05,51610,38545,24774.3
67668,NIFTY50,2026-08-03,11558402,NIFTY2681825050CE,25050,CE,2026-08-18,98.85,98.85,46.3,49.15,25090,8645,24774.3
67669,NIFTY50,2026-08-03,11558658,NIFTY2681825050PE,25050,PE,2026-08-18,1051.15,1051.15,1051.15,1051.15,0,0,24774.3
67670,NIFTY50,2026-08-03,11558914,NIFTY2681825100CE,25100,CE,2026-08-18,90.35,90.35,38.35,40.9,106795,44070,24774.3
67671,NIFTY50,2026-08-03,11559170,NIFTY2681825100PE,25100,PE,2026-08-18,556.1,556.1,504.6,518.05,2925,1820,24774.3
67672,NIFTY50,2026-08-03,11559426,NIFTY2681825150CE,25150,CE,2026-08-18,173.5,173.5,173.5,173.5,0,0,24774.3
67673,NIFTY50,2026-08-03,11559682,NIFTY2681825150PE,25150,PE,2026-08-18,1126.45,1126.45,1126.45,1126.45,0,0,24774.3
67674,NIFTY50,2026-08-03,11559938,NIFTY2681825200CE,25200,CE,2026-08-18,20,39.85,20,28.65,904020,205075,24774.3
67675,NIFTY50,2026-08-03,11560194,NIFTY2681825200PE,25200,PE,2026-08-18,1165.4,1165.4,1165.4,1165.4,0,0,24774.3
67676,NIFTY50,2026-08-03,11560450,NIFTY2681825250CE,25250,CE,2026-08-18,19.45,29.45,19.05,24.05,107965,21255,24774.3
67677,NIFTY50,2026-08-03,11560706,NIFTY2681825250PE,25250,PE,2026-08-18,1204.85,1204.85,1204.85,1204.85,0,0,24774.3
67678,NIFTY50,2026-08-03,11561474,NIFTY2681825300CE,25300,CE,2026-08-18,14.5,25.05,14.1,18.9,500565,179270,24774.3
67679,NIFTY50,2026-08-03,11561730,NIFTY2681825300PE,25300,PE,2026-08-18,710,710,710,710,65,65,24774.3
67680,NIFTY50,2026-08-03,11561986,NIFTY2681825350CE,25350,CE,2026-08-18,55.95,55.95,14.75,15.65,22425,8710,24774.3
67681,NIFTY50,2026-08-03,11562242,NIFTY2681825350PE,25350,PE,2026-08-18,1285.35,1285.35,1285.35,1285.35,0,0,24774.3
67682,NIFTY50,2026-08-03,11562498,NIFTY2681825400CE,25400,CE,2026-08-18,10.8,17.5,10.8,13.05,213720,86710,24774.3
67683,NIFTY50,2026-08-03,11562754,NIFTY2681825400PE,25400,PE,2026-08-18,1150,1150,1150,1150,0,65,24774.3
67684,NIFTY50,2026-08-03,11563010,NIFTY2681825450CE,25450,CE,2026-08-18,10.25,15.05,8.6,11.3,46150,17745,24774.3
67685,NIFTY50,2026-08-03,11563266,NIFTY2681825450PE,25450,PE,2026-08-18,1367.8,1367.8,1367.8,1367.8,0,0,24774.3
67686,NIFTY50,2026-08-03,11563522,NIFTY2681825500CE,25500,CE,2026-08-18,12,13.25,7,9.5,1190215,510445,24774.3
67687,NIFTY50,2026-08-03,11563778,NIFTY2681825500PE,25500,PE,2026-08-18,1409.7,1409.7,1409.7,1409.7,0,0,24774.3
67688,NIFTY50,2026-08-03,11564034,NIFTY2681825550CE,25550,CE,2026-08-18,7.4,11.25,7.2,8.35,37375,14755,24774.3
67689,NIFTY50,2026-08-03,11564290,NIFTY2681825550PE,25550,PE,2026-08-18,1452.05,1452.05,1452.05,1452.05,0,0,24774.3
67690,NIFTY50,2026-08-03,11566082,NIFTY2681825600CE,25600,CE,2026-08-18,5.95,10,5.9,7.15,193180,59865,24774.3
67691,NIFTY50,2026-08-03,11566338,NIFTY2681825600PE,25600,PE,2026-08-18,1150,1150,1150,1150,0,130,24774.3
67692,NIFTY50,2026-08-03,11567106,NIFTY2681825650CE,25650,CE,2026-08-18,5.7,8.15,5.7,6.05,8515,7150,24774.3
67693,NIFTY50,2026-08-03,11567362,NIFTY2681825650PE,25650,PE,2026-08-18,1538,1538,1538,1538,0,0,24774.3
67694,NIFTY50,2026-08-03,11567618,NIFTY2681825700CE,25700,CE,2026-08-18,4.6,7.8,3.8,5,327340,62400,24774.3
67695,NIFTY50,2026-08-03,11567874,NIFTY2681825700PE,25700,PE,2026-08-18,1290,1290,1290,1290,0,195,24774.3
67696,NIFTY50,2026-08-03,11568642,NIFTY2681825750CE,25750,CE,2026-08-18,3.8,3.8,3.8,3.8,0,195,24774.3
67697,NIFTY50,2026-08-03,11568898,NIFTY2681825750PE,25750,PE,2026-08-18,1625.45,1625.45,1625.45,1625.45,0,0,24774.3
67698,NIFTY50,2026-08-03,15752194,NIFTY26AUG23750CE,23750,CE,2026-08-25,890.55,964.15,886.9,904.2,2795,18850,24774.3
67699,NIFTY50,2026-08-03,15752450,NIFTY26AUG23750PE,23750,PE,2026-08-25,45.75,48.4,41.2,44.8,119925,66365,24774.3
67700,NIFTY50,2026-08-03,15752706,NIFTY26AUG23800CE,23800,CE,2026-08-25,720,926.95,720,883,100165,522795,24774.3
67701,NIFTY50,2026-08-03,15752962,NIFTY26AUG23800PE,23800,PE,2026-08-25,59,60,45,49.4,1585090,1610960,24774.3
67702,NIFTY50,2026-08-03,15753218,NIFTY26AUG23850CE,23850,CE,2026-08-25,800.95,868.8,800.95,857.4,1885,20735,24774.3
67703,NIFTY50,2026-08-03,15756802,NIFTY26AUG23850PE,23850,PE,2026-08-25,60,60,49.2,53.45,148525,104455,24774.3
67704,NIFTY50,2026-08-03,15758594,NIFTY26AUG23900CE,23900,CE,2026-08-25,759.95,835,746.9,798.65,119990,266760,24774.3
67705,NIFTY50,2026-08-03,15766018,NIFTY26AUG23900PE,23900,PE,2026-08-25,68,72.95,54.1,59.2,1190150,757055,24774.3
67706,NIFTY50,2026-08-03,15766274,NIFTY26AUG23950CE,23950,CE,2026-08-25,730,789.6,726,757,5460,34905,24774.3
67707,NIFTY50,2026-08-03,15766530,NIFTY26AUG23950PE,23950,PE,2026-08-25,68,71.2,59.55,64.35,217360,112645,24774.3
67708,NIFTY50,2026-08-03,15767810,NIFTY26AUG24000CE,24000,CE,2026-08-25,675.05,747,662.1,709.75,1050790,5911945,24774.3
67709,NIFTY50,2026-08-03,15770626,NIFTY26AUG24000PE,24000,PE,2026-08-25,89.9,89.9,65.2,71.3,6048120,8277620,24774.3
67710,NIFTY50,2026-08-03,15770882,NIFTY26AUG24050CE,24050,CE,2026-08-25,657.9,698,631.1,673.15,17225,38285,24774.3
67711,NIFTY50,2026-08-03,15771906,NIFTY26AUG24050PE,24050,PE,2026-08-25,83.25,87.8,72,78.4,165685,90935,24774.3
67712,NIFTY50,2026-08-03,15772162,NIFTY26AUG24100CE,24100,CE,2026-08-25,549.9,664.55,549.9,626.85,388895,1448655,24774.3
67713,NIFTY50,2026-08-03,15775234,NIFTY26AUG24100PE,24100,PE,2026-08-25,110,110,80.05,86.25,1373580,1844245,24774.3
67714,NIFTY50,2026-08-03,15775490,NIFTY26AUG24150CE,24150,CE,2026-08-25,553.8,618.45,548.3,581,14300,57135,24774.3
67715,NIFTY50,2026-08-03,15781378,NIFTY26AUG24150PE,24150,PE,2026-08-25,124.85,124.9,87.8,95,235690,279240,24774.3
67716,NIFTY50,2026-08-03,15781634,NIFTY26AUG24200CE,24200,CE,2026-08-25,494.55,581.35,484.65,543.8,673595,1281800,24774.3
67717,NIFTY50,2026-08-03,15787522,NIFTY26AUG24200PE,24200,PE,2026-08-25,100,124.95,97,104.8,2598700,2176070,24774.3
67718,NIFTY50,2026-08-03,15787778,NIFTY26AUG24250CE,24250,CE,2026-08-25,459.15,541,459.1,505.7,77935,99580,24774.3
67719,NIFTY50,2026-08-03,15791106,NIFTY26AUG24250PE,24250,PE,2026-08-25,135.9,135.9,107,117.15,270465,192660,24774.3
67720,NIFTY50,2026-08-03,15791362,NIFTY26AUG24300CE,24300,CE,2026-08-25,449.15,501.35,429.5,462.7,1396525,1089725,24774.3
67721,NIFTY50,2026-08-03,15795970,NIFTY26AUG24300PE,24300,PE,2026-08-25,140.05,150.5,118.05,128.55,2116530,1395745,24774.3
67722,NIFTY50,2026-08-03,15799554,NIFTY26AUG24350CE,24350,CE,2026-08-25,396.65,464.25,385.35,426.45,250575,140270,24774.3
67723,NIFTY50,2026-08-03,15800066,NIFTY26AUG24350PE,24350,PE,2026-08-25,184.9,184.9,131.15,141.65,358995,161850,24774.3
67724,NIFTY50,2026-08-03,15800322,NIFTY26AUG24400CE,24400,CE,2026-08-25,365,431,356.65,393,1228565,1000805,24774.3
